# sid	tripitaka	name	lqsutra	total_reels	remark
GL004620	GL	佛說鹿母經	LQ002420	1	
GL004630	GL	佛說魔逆經	LQ007140	1	
GL004640	GL	佛說滅十方冥經	LQ006020	1	
GL004650	GL	金剛頂經曼殊室利菩薩五字心陁羅尼品	LQ012120	1	
GL004660	GL	佛說月明菩薩經	LQ002290	1	
GL004670	GL	佛說出生菩提心經	LQ008520	1	
GL004680	GL	異出菩薩本起經	LQ001830	1	
GL004690	GL	佛說賢首經	LQ006990	1	
GL004700	GL	佛說文殊師利般涅槃經	LQ006400	1	
GL004710	GL	佛說佛印三昧經	LQ007220	1	
GL004720	GL	觀自在如意輪菩薩瑜伽法要	LQ011190	1	
